23:44:44.561446 Foll S0  term:0  INFO  initialize finished
23:44:44.561626 Foll S1  term:0  INFO  initialize finished
23:44:44.561667 Foll S2  term:0  INFO  initialize finished
23:44:44.561700 Foll S3  term:0  INFO  initialize finished
23:44:44.561719 Foll S4  term:0  INFO  initialize finished
Test: one client (3A) ...
23:44:44.561884 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.561992 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562083 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562166 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562243 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562322 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562408 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562522 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562604 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562692 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562784 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562860 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.562945 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.563039 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.563123 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.563203 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.563292 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.563362 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.563475 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.563561 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
